PLATFORM_NUMBER,EDMO_CODE
1900272,3839
1900273,3839
1900274,3839
1900275,353
1900276,353
1900277,353
1900278,353
1900279,353
1900280,17
1900281,17
1900282,17
1900283,17
1900284,17
1900285,17
1900286,17
1900287,17
1900288,17
1900289,17
1900290,17
1900291,17
1900292,17
1900293,17
1900294,17
1900305,1537
1900306,1537
1900307,1537
1900308,1537
1900309,1537
1900310,1537
1900311,1537
1900312,552
1900313,552
1900314,552
1900315,552
1900316,552
1900317,552
1900318,552
1900319,552
1900320,552
1900321,552
1900322,552
1900323,552
1900324,552
1900325,552
1900326,540
1900327,1054
1900328,1054
1900329,1054
1900330,1054
1900331,1054
1900332,1054
1900333,1054
1900334,1054
1900335,1054
1900336,1054
1900337,1054
1900338,1054
1900339,1054
1900340,1054
1900341,540
1900342,540
1900343,29
1900344,29
1900345,29
1900346,29
1900347,29
1900348,1054
1900349,1054
1900350,1054
1900351,1054
1900352,1054
1900353,3839
1900354,3839
1900355,3839
1900356,3839
1900357,3839
1900358,3839
1900359,3844
1900360,3844
1900361,3844
1900362,3844
1900363,3844
1900364,3844
1900365,3844
1900366,3844
1900368,29
1900369,29
1900370,29
1900371,29
1900372,29
1900373,29
1900374,29
1900375,29
1900376,29
1900377,1051
1900378,3730
1900379,3730
1900380,1368
1900381,1368
1900382,1368
1900383,540
1900384,540
1900385,540
1900386,540
1900387,540
1900388,540
1900389,540
1900390,540
1900391,540
1900392,540
1900393,540
1900394,540
1900395,540
1900396,540
1900397,540
1900398,540
1900399,540
1900400,540
1900401,540
1900402,540
1900403,540
1900404,540
1900405,540
1900406,3839
1900407,3839
1900408,3839
1900409,3839
1900410,3839
1900411,3839
1900412,3839
1900413,3839
1900414,3839
1900415,3844
1900416,685
1900417,685
1900418,29
1900419,29
1900420,540
1900421,540
1900422,540
1900423,3844
1900424,3844
1900425,3844
1900426,3844
1900427,3844
1900428,3844
1900429,3844
1900430,3844
1900431,3844
1900432,3577
1900433,540
1900434,540
1900435,3577
1900436,3577
1900437,3577
1900438,3577
1900439,3577
1900440,3577
1900441,3577
1900442,3577
1900443,3577
1900444,3844
1900445,3844
1900446,3844
1900447,3844
1900448,3844
1900449,3844
1900450,29
1900451,29
1900452,29
1900453,29
1900454,29
1900455,29
1900456,29
1900457,29
1900458,29
1900459,29
1900460,29
1900461,29
1900462,29
1900463,29
1900464,440
1900465,540
1900466,540
1900467,540
1900468,540
1900469,540
1900470,540
1900471,540
1900472,540
1900473,540
1900475,1537
1900476,1537
1900477,1537
1900478,1537
1900479,1537
1900480,1537
1900481,1537
1900482,1537
1900483,1537
1900484,1537
1900485,1537
1900486,1537
1900487,3844
1900488,3844
1900489,3844
1900490,3844
1900491,3844
1900492,3844
1900493,3844
1900494,3844
1900495,3844
1900496,3844
1900497,3844
1900498,3844
1900499,3844
1900500,3844
1900501,3844
1900502,3844
1900503,3844
1900504,3844
1900505,3844
1900506,3844
1900507,29
1900508,29
1900509,29
1900510,29
1900517,2947
1900518,2947
1900519,2947
1900520,2947
1900521,2947
1900522,2947
1900523,2947
1900524,2947
1900525,3844
1900526,3844
1900527,3844
1900528,3844
1900529,3844
1900530,3844
1900531,3844
1900532,3844
1900533,3844
1900534,3844
1900535,3844
1900536,3844
1900537,3844
1900538,3844
1900539,3844
1900540,440
1900541,440
1900542,440
1900543,440
1900544,440
1900545,440
1900546,440
1900547,440
1900548,440
1900549,440
1900550,440
1900551,440
1900552,440
1900553,440
1900554,440
1900555,440
1900556,440
1900557,440
1900560,3844
1900561,3844
1900562,3844
1900563,3844
1900564,3844
1900565,3844
1900566,3844
1900567,3844
1900568,3844
1900569,3844
1900570,3844
1900571,3844
1900572,3844
1900573,3844
1900574,3844
1900575,3844
1900576,3844
1900577,3844
1900578,3844
1900579,3844
1900580,3844
1900581,3844
1900582,3844
1900583,3844
1900584,3844
1900585,29
1900586,29
1900589,1054
1900590,1054
1900591,1054
1900592,1054
1900593,1054
1900599,440
1900600,440
1900601,440
1900602,1054
1900603,1054
1900604,1054
1900605,1054
1900606,1054
1900607,440
1900608,440
1900609,440
1900610,440
1900611,440
1900612,440
1900613,440
1900614,440
1900615,440
1900616,540
1900617,540
1900618,540
1900619,540
1900620,540
1900621,540
1900622,540
1900623,540
1900624,540
1900625,540
1900626,540
1900627,540
1900628,1054
1900629,440
1900630,440
1900631,29
1900632,29
1900633,29
1900634,29
1900635,3844
1900636,3844
1900637,3844
1900638,3844
1900639,3844
1900640,3844
1900641,3844
1900642,3844
1900643,3844
1900644,3844
1900645,3844
1900646,3844
1900647,3844
1900648,3844
1900649,3844
1900650,2947
1900651,2947
1900652,2947
1900653,2947
1900654,2947
1900655,2947
1900656,2947
1900657,2947
1900658,2947
1900659,2947
1900660,2947
1900661,2947
1900662,2947
1900663,2947
1900664,2947
1900666,1537
1900667,1537
1900668,1537
1900669,1537
1900670,1537
1900671,1537
1900672,1537
1900673,1537
1900674,1537
1900675,1537
1900676,1537
1900677,29
1900678,29
1900679,29
1900680,29
1900681,29
1900682,29
1900683,3844
1900684,3844
1900685,3844
1900686,3844
1900687,3844
1900688,3844
1900689,3844
1900690,3844
1900691,1390
1900692,1390
1900693,1390
1900694,1390
1900695,1390
1900696,1390
1900697,1390
1900698,1390
1900699,1390
1900700,1390
1900701,1390
1900702,3844
1900703,3844
1900704,3844
1900705,3844
1900706,3844
1900707,3844
1900708,3844
1900709,3844
1900710,3844
1900711,3844
1900712,3844
1900713,3844
1900714,3844
1900715,3844
1900716,3844
1900717,3844
1900718,3844
1900719,3844
1900720,3844
1900721,3844
1900722,3839
1900723,3839
1900724,3839
1900725,3839
1900726,3839
1900727,3839
1900728,3839
1900729,3839
1900730,3839
1900731,3839
1900732,3844
1900733,3844
1900734,3844
1900735,3844
1900736,3844
1900737,3844
1900738,3844
1900739,3844
1900740,3844
1900741,3844
1900742,3844
1900743,3844
1900744,3844
1900745,3844
1900746,3844
1900747,3844
1900748,3844
1900749,3844
1900750,3844
1900751,3844
1900752,3844
1900753,3844
1900754,3844
1900755,3844
1900756,3844
1900757,3844
1900758,3844
1900759,3844
1900760,3844
1900761,3844
1900762,3844
1900763,3844
1900764,3844
1900765,3844
1900766,3844
1900767,3844
1900768,3844
1900769,3844
1900770,3844
1900771,3844
1900772,3844
1900773,3844
1900774,3844
1900775,3844
1900776,3844
1900777,3844
1900778,3844
1900779,3844
1900780,3844
1900781,3844
1900782,3844
1900783,3844
1900784,3844
1900785,3844
1900786,3844
1900787,3844
1900788,3844
1900789,3844
1900790,3844
1900791,3844
1900792,3844
1900793,3844
1900794,3844
1900795,3844
1900796,3844
1900797,3844
1900798,3844
1900799,3844
1900800,3844
1900801,3844
1900802,3844
1900803,3844
1900804,1390
1900805,1390
1900806,1390
1900807,1390
1900808,1390
1900809,1390
1900810,1390
1900811,1390
1900812,1390
1900813,1390
1900814,3844
1900815,3844
1900816,3844
1900817,3844
1900818,3844
1900819,3844
1900820,3844
1900821,3844
1900822,3844
1900823,3844
1900824,3844
1900825,3844
1900828,3844
1900829,3844
1900830,3577
1900831,3577
1900832,3577
1900846,440
1900847,440
1900848,1054
1900849,1054
1900850,1054
1900851,1054
1900852,1054
1900853,1054
1900854,1054
1900855,1054
1900856,1054
1900857,1054
1900858,1054
1900859,1054
1900860,1054
1900861,1054
1900862,1054
1900863,1054
1900864,1054
1900865,1054
1900866,1537
1900867,1537
1900868,1537
1900869,1537
1900870,1537
1900871,1537
1900872,1537
1900873,1537
1900874,1537
1900875,1537
1900876,1537
1900877,1537
1900916,1051
1900917,1051
1900918,1054
1900919,1054
1900920,1054
1900921,1054
1900922,1054
1900923,1054
1900924,1054
1900925,1054
1900926,1054
1900927,1054
1900928,1054
1900929,1054
1900930,1054
1900933,29
1900934,29
1900935,29
1900936,29
1900937,29
1900938,29
1900939,29
1900940,29
1900941,29
1900942,29
1900943,2947
1900945,3577
1900946,3577
1900947,3577
1900948,3577
1900949,3577
1900950,3577
1900951,3577
1900952,3577
1900953,3577
1900954,3577
1900955,3577
1900956,3577
1900957,3577
1900958,3577
1900959,3577
1900960,3577
1900961,3577
1900962,1390
1900963,1390
1900964,1390
1900965,1390
1900966,1390
1900967,1390
1900968,1390
1900969,1390
1900970,1390
1900971,1390
1900972,1390
1900973,1440
1900974,1440
1900975,1440
1900976,1440
1900977,1440
1900978,1440
1900979,1440
1900980,1440
1900981,1440
1900983,3844
1900984,3844
1900985,3844
1900986,3844
1900987,3844
1900988,3844
1900989,3844
1900990,3844
1900991,3844
1900992,3844
1900993,3844
1900994,3844
1900995,3844
1900996,3844
1900997,1051
1900998,3844
1900999,1051
1901000,3844
1901001,1051
1901002,1051
1901003,3844
1901004,3839
1901005,3844
1901006,3844
1901007,3844
1901008,3844
1901009,3844
1901010,3844
1901011,3844
1901045,1051
1901046,1051
1901047,1051
1901048,1051
1901049,1051
1901050,29
1901051,29
1901052,29
1901053,29
1901054,29
1901055,29
1901056,29
1901057,29
1901058,29
1901059,29
1901060,29
1901061,29
1901062,29
1901063,29
1901064,29
1901065,29
1901066,29
1901067,29
1901068,29
1901069,29
1901070,29
1901071,29
1901072,29
1901073,29
1901074,29
1901075,632
1901076,632
1901077,632
1901078,632
1901079,632
1901080,632
1901081,632
1901082,632
1901083,632
1901092,1054
1901093,1054
1901094,1054
1901095,1054
1901096,1054
1901097,1054
1901116,3839
1901117,3839
1901118,3839
1901119,1484
1901120,1484
1901121,1484
1901122,1484
1901123,1484
1901124,1484
1901125,1484
1901126,1484
1901127,1484
1901128,1484
1901129,1484
1901130,1484
1901131,1484
1901132,1484
1901133,1484
1901134,1484
1901135,1484
1901136,1484
1901137,1484
1901138,1484
1901139,1484
1901140,1484
1901141,1484
1901142,1484
1901143,1484
1901144,1484
1901145,1484
1901146,1484
1901147,1484
1901148,1484
1901149,1484
1901150,1484
1901151,1484
1901152,1484
1901153,1484
1901154,1484
1901155,1484
1901156,1484
1901157,1484
1901158,1484
1901159,1484
1901160,1484
1901161,1484
1901162,1484
1901163,1484
1901164,1484
1901165,1484
1901166,1484
1901167,1484
1901168,1484
1901169,1054
1901170,1054
1901171,1054
1901172,1054
1901173,1054
1901174,1054
1901175,1054
1901176,1054
1901177,1054
1901178,1054
1901179,1054
1901180,1054
1901181,1054
1901182,1054
1901183,1054
1901184,1054
1901185,1054
1901186,1054
1901187,1054
1901188,440
1901190,1054
1901191,1054
1901192,1054
1901193,1054
1901194,1054
1901195,1054
1901196,1054
1901197,1054
1901198,1054
1901199,1054
1901200,1054
1901201,1054
1901202,1054
1901203,1054
1901204,440
1901205,4536
1901206,4536
1901207,4536
1901208,4536
1901209,4536
1901210,4536
1901211,4536
1901212,4536
1901213,4536
1901214,4536
1901215,4536
1901216,4536
1901217,4536
1901218,4536
1901219,29
1901220,29
1901221,29
1901222,29
1901223,29
1901224,29
1901225,29
1901226,29
1901227,29
1901228,29
1901229,29
1901230,29
1901231,29
1901232,29
1901233,29
1901234,29
1901235,29
1901236,29
1901237,29
1901238,29
1901239,29
1901240,29
1901241,29
1901242,29
1901243,29
1901244,29
1901245,29
1901247,29
1901248,29
1901249,29
1901250,29
1901251,29
1901252,29
1901253,29
1901254,29
1901255,29
1901256,29
1901257,29
1901258,29
1901259,29
1901260,29
1901261,29
1901262,29
1901263,29
1901264,29
1901265,29
1901266,29
1901267,29
1901268,29
1901269,29
1901270,29
1901271,29
1901272,29
1901273,29
1901274,29
1901275,29
1901276,29
1901277,29
1901278,29
1901279,29
1901280,29
1901281,29
1901282,29
1901283,29
1901284,29
1901285,29
1901286,29
1901287,29
1901288,29
1901289,29
1901290,29
1901291,29
1901292,29
1901293,29
1901294,29
1901295,29
1901296,29
1901297,29
1901298,29
1901299,29
1901300,29
1901302,29
1901303,29
1901304,29
1901305,29
1901306,29
1901307,29
1901308,29
1901309,29
1901310,29
1901311,29
1901312,29
1901313,29
1901314,29
1901315,29
1901316,29
1901317,29
1901318,29
1901319,1484
1901320,1484
1901321,1484
1901322,1484
1901323,1484
1901324,1484
1901325,1484
1901326,1484
1901327,1484
1901328,1484
1901329,1484
1901330,1484
1901331,1484
1901332,1484
1901333,1484
1901334,1484
1901335,1484
1901336,1484
1901337,1484
1901338,1484
1901339,1484
1901340,1484
1901341,1484
1901342,1484
1901343,1484
1901344,1484
1901345,1484
1901346,1484
1901347,1484
1901348,1484
1901349,1850
1901350,1850
1901351,1850
1901354,1850
1901355,1850
1901356,1850
1901357,1850
1901358,1850
1901359,1850
1901360,1850
1901361,1850
1901362,1850
1901363,1850
1901364,1850
1901365,1850
1901369,3839
1901370,3839
1901371,3839
1901372,3839
1901373,3839
1901374,3839
1901375,3839
1901376,3839
1901377,3839
1901378,3839
1901379,1440
1901380,3839
1901381,3839
1901382,3839
1901383,3839
1901384,3839
1901385,3839
1901386,3839
1901387,3839
1901388,3839
1901389,3839
1901390,3839
1901391,3839
1901392,3839
1901393,3839
1901394,3839
1901395,3839
1901396,3839
1901397,3839
1901398,3839
1901399,3839
1901400,3839
1901401,3839
1901402,3839
1901403,3839
1901404,3839
1901405,3839
1901406,3839
1901407,3839
1901408,3839
1901409,3839
1901410,3839
1901411,3839
1901412,3839
1901413,3839
1901414,3839
1901415,3839
1901416,1390
1901417,1390
1901418,1390
1901419,1390
1901420,1390
1901421,1390
1901422,1390
